"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"45-49 years"	"45-49"	"2008"	"2008"	"White"	"2106-3"	"Female"	"F"	Suppressed	123867	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	Suppressed	123335	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2010"	"2010"	"White"	"2106-3"	"Female"	"F"	Suppressed	122685	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2011"	"2011"	"White"	"2106-3"	"Female"	"F"	Suppressed	118473	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2012"	"2012"	"White"	"2106-3"	"Female"	"F"	Suppressed	114767	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2013"	"2013"	"White"	"2106-3"	"Female"	"F"	Suppressed	111190	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2014"	"2014"	"White"	"2106-3"	"Female"	"F"	Suppressed	108286	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2015"	"2015"	"White"	"2106-3"	"Female"	"F"	Suppressed	107101	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2016"	"2016"	"White"	"2106-3"	"Female"	"F"	Suppressed	107807	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2017"	"2017"	"White"	"2106-3"	"Female"	"F"	Suppressed	107889	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"2018"	"2018"	"White"	"2106-3"	"Female"	"F"	Suppressed	107334	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"1999"	"1999"	"White"	"2106-3"	"Female"	"F"	Suppressed	108417	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2000"	"2000"	"White"	"2106-3"	"Female"	"F"	Suppressed	110714	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2001"	"2001"	"White"	"2106-3"	"Female"	"F"	Suppressed	114933	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2002"	"2002"	"White"	"2106-3"	"Female"	"F"	Suppressed	112751	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2003"	"2003"	"White"	"2106-3"	"Female"	"F"	Suppressed	112432	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2004"	"2004"	"White"	"2106-3"	"Female"	"F"	Suppressed	113659	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2005"	"2005"	"White"	"2106-3"	"Female"	"F"	Suppressed	115591	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2006"	"2006"	"White"	"2106-3"	"Female"	"F"	Suppressed	117818	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2007"	"2007"	"White"	"2106-3"	"Female"	"F"	Suppressed	120509	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2008"	"2008"	"White"	"2106-3"	"Female"	"F"	Suppressed	122799	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	Suppressed	123871	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2010"	"2010"	"White"	"2106-3"	"Female"	"F"	Suppressed	124447	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2011"	"2011"	"White"	"2106-3"	"Female"	"F"	Suppressed	125071	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2012"	"2012"	"White"	"2106-3"	"Female"	"F"	Suppressed	124181	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2013"	"2013"	"White"	"2106-3"	"Female"	"F"	Suppressed	123639	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2014"	"2014"	"White"	"2106-3"	"Female"	"F"	Suppressed	122912	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2015"	"2015"	"White"	"2106-3"	"Female"	"F"	Suppressed	121294	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2016"	"2016"	"White"	"2106-3"	"Female"	"F"	Suppressed	117671	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2017"	"2017"	"White"	"2106-3"	"Female"	"F"	Suppressed	113775	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"2018"	"2018"	"White"	"2106-3"	"Female"	"F"	Suppressed	110332	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"1999"	"1999"	"White"	"2106-3"	"Female"	"F"	Suppressed	90895	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2000"	"2000"	"White"	"2106-3"	"Female"	"F"	Suppressed	92567	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2001"	"2001"	"White"	"2106-3"	"Female"	"F"	Suppressed	94363	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2002"	"2002"	"White"	"2106-3"	"Female"	"F"	Suppressed	101009	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2003"	"2003"	"White"	"2106-3"	"Female"	"F"	Suppressed	103769	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2004"	"2004"	"White"	"2106-3"	"Female"	"F"	Suppressed	107344	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2005"	"2005"	"White"	"2106-3"	"Female"	"F"	Suppressed	111230	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2006"	"2006"	"White"	"2106-3"	"Female"	"F"	Suppressed	115126	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2007"	"2007"	"White"	"2106-3"	"Female"	"F"	Suppressed	113399	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2008"	"2008"	"White"	"2106-3"	"Female"	"F"	Suppressed	113464	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	Suppressed	114707	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2010"	"2010"	"White"	"2106-3"	"Female"	"F"	Suppressed	116040	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2011"	"2011"	"White"	"2106-3"	"Female"	"F"	Suppressed	118414	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2012"	"2012"	"White"	"2106-3"	"Female"	"F"	Suppressed	120216	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2013"	"2013"	"White"	"2106-3"	"Female"	"F"	Suppressed	122012	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2014"	"2014"	"White"	"2106-3"	"Female"	"F"	Suppressed	121957	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2015"	"2015"	"White"	"2106-3"	"Female"	"F"	Suppressed	122224	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2016"	"2016"	"White"	"2106-3"	"Female"	"F"	Suppressed	122769	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2017"	"2017"	"White"	"2106-3"	"Female"	"F"	Suppressed	122049	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"2018"	"2018"	"White"	"2106-3"	"Female"	"F"	Suppressed	121410	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"1999"	"1999"	"White"	"2106-3"	"Female"	"F"	Suppressed	79731	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2000"	"2000"	"White"	"2106-3"	"Female"	"F"	Suppressed	79504	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2001"	"2001"	"White"	"2106-3"	"Female"	"F"	Suppressed	80899	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2002"	"2002"	"White"	"2106-3"	"Female"	"F"	Suppressed	82966	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2003"	"2003"	"White"	"2106-3"	"Female"	"F"	Suppressed	86542	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2004"	"2004"	"White"	"2106-3"	"Female"	"F"	Suppressed	89120	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2005"	"2005"	"White"	"2106-3"	"Female"	"F"	Suppressed	91345	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2006"	"2006"	"White"	"2106-3"	"Female"	"F"	Suppressed	93540	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2007"	"2007"	"White"	"2106-3"	"Female"	"F"	Suppressed	100195	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2008"	"2008"	"White"	"2106-3"	"Female"	"F"	Suppressed	103272	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	Suppressed	106763	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2010"	"2010"	"White"	"2106-3"	"Female"	"F"	Suppressed	109750	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2011"	"2011"	"White"	"2106-3"	"Female"	"F"	Suppressed	113722	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2012"	"2012"	"White"	"2106-3"	"Female"	"F"	Suppressed	111465	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2013"	"2013"	"White"	"2106-3"	"Female"	"F"	Suppressed	110811	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2014"	"2014"	"White"	"2106-3"	"Female"	"F"	Suppressed	111829	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2015"	"2015"	"White"	"2106-3"	"Female"	"F"	13	113494	Unreliable
	"Alabama"	"01"	"60-64 years "	"60-64"	"2016"	"2016"	"White"	"2106-3"	"Female"	"F"	Suppressed	115137	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2017"	"2017"	"White"	"2106-3"	"Female"	"F"	Suppressed	116943	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"2018"	"2018"	"White"	"2106-3"	"Female"	"F"	Suppressed	118601	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"1999"	"1999"	"White"	"2106-3"	"Female"	"F"	Suppressed	71772	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"2000"	"2000"	"White"	"2106-3"	"Female"	"F"	Suppressed	71967	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"2001"	"2001"	"White"	"2106-3"	"Female"	"F"	11	71895	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2002"	"2002"	"White"	"2106-3"	"Female"	"F"	12	72293	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2003"	"2003"	"White"	"2106-3"	"Female"	"F"	Suppressed	73750	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"2004"	"2004"	"White"	"2106-3"	"Female"	"F"	19	75396	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2005"	"2005"	"White"	"2106-3"	"Female"	"F"	13	76316	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2006"	"2006"	"White"	"2106-3"	"Female"	"F"	17	78024	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2007"	"2007"	"White"	"2106-3"	"Female"	"F"	14	80256	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2008"	"2008"	"White"	"2106-3"	"Female"	"F"	13	83786	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	Suppressed	86437	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"2010"	"2010"	"White"	"2106-3"	"Female"	"F"	14	88113	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2011"	"2011"	"White"	"2106-3"	"Female"	"F"	19	90105	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2012"	"2012"	"White"	"2106-3"	"Female"	"F"	12	97117	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2013"	"2013"	"White"	"2106-3"	"Female"	"F"	16	99363	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2014"	"2014"	"White"	"2106-3"	"Female"	"F"	16	102512	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2015"	"2015"	"White"	"2106-3"	"Female"	"F"	18	105408	Unreliable
	"Alabama"	"01"	"65-69 years"	"65-69"	"2016"	"2016"	"White"	"2106-3"	"Female"	"F"	36	108466	33.19
	"Alabama"	"01"	"65-69 years"	"65-69"	"2017"	"2017"	"White"	"2106-3"	"Female"	"F"	26	106032	24.52
	"Alabama"	"01"	"65-69 years"	"65-69"	"2018"	"2018"	"White"	"2106-3"	"Female"	"F"	26	105897	24.55
	"Alabama"	"01"	"70-74 years"	"70-74"	"1999"	"1999"	"White"	"2106-3"	"Female"	"F"	24	67837	35.38
	"Alabama"	"01"	"70-74 years"	"70-74"	"2000"	"2000"	"White"	"2106-3"	"Female"	"F"	21	67279	31.21
	"Alabama"	"01"	"70-74 years"	"70-74"	"2001"	"2001"	"White"	"2106-3"	"Female"	"F"	39	67077	58.14
	"Alabama"	"01"	"70-74 years"	"70-74"	"2002"	"2002"	"White"	"2106-3"	"Female"	"F"	36	66290	54.31
	"Alabama"	"01"	"70-74 years"	"70-74"	"2003"	"2003"	"White"	"2106-3"	"Female"	"F"	41	65433	62.66
	"Alabama"	"01"	"70-74 years"	"70-74"	"2004"	"2004"	"White"	"2106-3"	"Female"	"F"	32	64844	49.35
	"Alabama"	"01"	"70-74 years"	"70-74"	"2005"	"2005"	"White"	"2106-3"	"Female"	"F"	46	65627	70.09
	"Alabama"	"01"	"70-74 years"	"70-74"	"2006"	"2006"	"White"	"2106-3"	"Female"	"F"	36	66103	54.46
	"Alabama"	"01"	"70-74 years"	"70-74"	"2007"	"2007"	"White"	"2106-3"	"Female"	"F"	39	66622	58.54
	"Alabama"	"01"	"70-74 years"	"70-74"	"2008"	"2008"	"White"	"2106-3"	"Female"	"F"	40	68168	58.68
	"Alabama"	"01"	"70-74 years"	"70-74"	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	48	69846	68.72
	"Alabama"	"01"	"70-74 years"	"70-74"	"2010"	"2010"	"White"	"2106-3"	"Female"	"F"	31	70266	44.12
	"Alabama"	"01"	"70-74 years"	"70-74"	"2011"	"2011"	"White"	"2106-3"	"Female"	"F"	43	71720	59.96
	"Alabama"	"01"	"70-74 years"	"70-74"	"2012"	"2012"	"White"	"2106-3"	"Female"	"F"	22	74004	29.73
	"Alabama"	"01"	"70-74 years"	"70-74"	"2013"	"2013"	"White"	"2106-3"	"Female"	"F"	34	77350	43.96
	"Alabama"	"01"	"70-74 years"	"70-74"	"2014"	"2014"	"White"	"2106-3"	"Female"	"F"	53	79803	66.41
	"Alabama"	"01"	"70-74 years"	"70-74"	"2015"	"2015"	"White"	"2106-3"	"Female"	"F"	66	81646	80.84
	"Alabama"	"01"	"70-74 years"	"70-74"	"2016"	"2016"	"White"	"2106-3"	"Female"	"F"	73	82954	88.00
	"Alabama"	"01"	"70-74 years"	"70-74"	"2017"	"2017"	"White"	"2106-3"	"Female"	"F"	71	89135	79.65
	"Alabama"	"01"	"70-74 years"	"70-74"	"2018"	"2018"	"White"	"2106-3"	"Female"	"F"	66	91681	71.99
	"Alabama"	"01"	"75-79 years"	"75-79"	"1999"	"1999"	"White"	"2106-3"	"Female"	"F"	53	57246	92.58
	"Alabama"	"01"	"75-79 years"	"75-79"	"2000"	"2000"	"White"	"2106-3"	"Female"	"F"	70	57438	121.87
	"Alabama"	"01"	"75-79 years"	"75-79"	"2001"	"2001"	"White"	"2106-3"	"Female"	"F"	65	57334	113.37
	"Alabama"	"01"	"75-79 years"	"75-79"	"2002"	"2002"	"White"	"2106-3"	"Female"	"F"	95	57247	165.95
	"Alabama"	"01"	"75-79 years"	"75-79"	"2003"	"2003"	"White"	"2106-3"	"Female"	"F"	89	57625	154.45
	"Alabama"	"01"	"75-79 years"	"75-79"	"2004"	"2004"	"White"	"2106-3"	"Female"	"F"	86	57190	150.38
	"Alabama"	"01"	"75-79 years"	"75-79"	"2005"	"2005"	"White"	"2106-3"	"Female"	"F"	90	56994	157.91
	"Alabama"	"01"	"75-79 years"	"75-79"	"2006"	"2006"	"White"	"2106-3"	"Female"	"F"	97	57372	169.07
	"Alabama"	"01"	"75-79 years"	"75-79"	"2007"	"2007"	"White"	"2106-3"	"Female"	"F"	94	56755	165.62
	"Alabama"	"01"	"75-79 years"	"75-79"	"2008"	"2008"	"White"	"2106-3"	"Female"	"F"	91	56257	161.76
	"Alabama"	"01"	"75-79 years"	"75-79"	"2009"	"2009"	"White"	"2106-3"	"Female"	"F"	86	55964	153.67
	"Alabama"	"01"	"75-79 years"	"75-79"	"2010"	"2010"	"White"	"2106-3"	"Female"	"F"	69	56604	121.90
	"Alabama"	"01"	"75-79 years"	"75-79"	"2011"	"2011"	"White"	"2106-3"	"Female"	"F"	89	56695	156.98
	"Alabama"	"01"	"75-79 years"	"75-79"	"2012"	"2012"	"White"	"2106-3"	"Female"	"F"	81	57165	141.70
	"Alabama"	"01"	"75-79 years"	"75-79"	"2013"	"2013"	"White"	"2106-3"	"Female"	"F"	71	58834	120.68
	"Alabama"	"01"	"75-79 years"	"75-79"	"2014"	"2014"	"White"	"2106-3"	"Female"	"F"	114	60508	188.40
	"Alabama"	"01"	"75-79 years"	"75-79"	"2015"	"2015"	"White"	"2106-3"	"Female"	"F"	143	61419	232.83
	"Alabama"	"01"	"75-79 years"	"75-79"	"2016"	"2016"	"White"	"2106-3"	"Female"	"F"	144	62656	229.83
