"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"35-39 years"	"35-39"	"2015"	"2015"	"Male"	"M"	439	144701	303.38
	"Alabama"	"01"	"35-39 years"	"35-39"	"2016"	"2016"	"Female"	"F"	284	154460	183.87
	"Alabama"	"01"	"35-39 years"	"35-39"	"2016"	"2016"	"Male"	"M"	517	146597	352.67
	"Alabama"	"01"	"35-39 years"	"35-39"	"2017"	"2017"	"Female"	"F"	275	155256	177.13
	"Alabama"	"01"	"35-39 years"	"35-39"	"2017"	"2017"	"Male"	"M"	502	146855	341.83
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018"	"2018"	"Female"	"F"	299	156327	191.27
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018"	"2018"	"Male"	"M"	529	147667	358.24
	"Alabama"	"01"	"40-44 years"	"40-44"	"1999"	"1999"	"Female"	"F"	433	176290	245.62
	"Alabama"	"01"	"40-44 years"	"40-44"	"1999"	"1999"	"Male"	"M"	718	167710	428.12
	"Alabama"	"01"	"40-44 years"	"40-44"	"2000"	"2000"	"Female"	"F"	421	176874	238.02
	"Alabama"	"01"	"40-44 years"	"40-44"	"2000"	"2000"	"Male"	"M"	706	168338	419.39
	"Alabama"	"01"	"40-44 years"	"40-44"	"2001"	"2001"	"Female"	"F"	452	178029	253.89
	"Alabama"	"01"	"40-44 years"	"40-44"	"2001"	"2001"	"Male"	"M"	695	169104	410.99
	"Alabama"	"01"	"40-44 years"	"40-44"	"2002"	"2002"	"Female"	"F"	406	176731	229.73
	"Alabama"	"01"	"40-44 years"	"40-44"	"2002"	"2002"	"Male"	"M"	646	168292	383.86
	"Alabama"	"01"	"40-44 years"	"40-44"	"2003"	"2003"	"Female"	"F"	414	175672	235.67
	"Alabama"	"01"	"40-44 years"	"40-44"	"2003"	"2003"	"Male"	"M"	747	167519	445.92
	"Alabama"	"01"	"40-44 years"	"40-44"	"2004"	"2004"	"Female"	"F"	456	174844	260.80
	"Alabama"	"01"	"40-44 years"	"40-44"	"2004"	"2004"	"Male"	"M"	736	167409	439.64
	"Alabama"	"01"	"40-44 years"	"40-44"	"2005"	"2005"	"Female"	"F"	438	173653	252.23
	"Alabama"	"01"	"40-44 years"	"40-44"	"2005"	"2005"	"Male"	"M"	690	165646	416.55
	"Alabama"	"01"	"40-44 years"	"40-44"	"2006"	"2006"	"Female"	"F"	466	170861	272.74
	"Alabama"	"01"	"40-44 years"	"40-44"	"2006"	"2006"	"Male"	"M"	683	163182	418.55
	"Alabama"	"01"	"40-44 years"	"40-44"	"2007"	"2007"	"Female"	"F"	413	166904	247.45
	"Alabama"	"01"	"40-44 years"	"40-44"	"2007"	"2007"	"Male"	"M"	636	159582	398.54
	"Alabama"	"01"	"40-44 years"	"40-44"	"2008"	"2008"	"Female"	"F"	416	162815	255.50
	"Alabama"	"01"	"40-44 years"	"40-44"	"2008"	"2008"	"Male"	"M"	610	155950	391.15
	"Alabama"	"01"	"40-44 years"	"40-44"	"2009"	"2009"	"Female"	"F"	416	159544	260.74
	"Alabama"	"01"	"40-44 years"	"40-44"	"2009"	"2009"	"Male"	"M"	601	154308	389.48
	"Alabama"	"01"	"40-44 years"	"40-44"	"2010"	"2010"	"Female"	"F"	412	158364	260.16
	"Alabama"	"01"	"40-44 years"	"40-44"	"2010"	"2010"	"Male"	"M"	542	152707	354.93
	"Alabama"	"01"	"40-44 years"	"40-44"	"2011"	"2011"	"Female"	"F"	402	159376	252.23
	"Alabama"	"01"	"40-44 years"	"40-44"	"2011"	"2011"	"Male"	"M"	518	152993	338.58
	"Alabama"	"01"	"40-44 years"	"40-44"	"2012"	"2012"	"Female"	"F"	415	160567	258.46
	"Alabama"	"01"	"40-44 years"	"40-44"	"2012"	"2012"	"Male"	"M"	589	153975	382.53
	"Alabama"	"01"	"40-44 years"	"40-44"	"2013"	"2013"	"Female"	"F"	381	161341	236.15
	"Alabama"	"01"	"40-44 years"	"40-44"	"2013"	"2013"	"Male"	"M"	562	154052	364.81
	"Alabama"	"01"	"40-44 years"	"40-44"	"2014"	"2014"	"Female"	"F"	395	159841	247.12
	"Alabama"	"01"	"40-44 years"	"40-44"	"2014"	"2014"	"Male"	"M"	593	152072	389.95
	"Alabama"	"01"	"40-44 years"	"40-44"	"2015"	"2015"	"Female"	"F"	410	156655	261.72
	"Alabama"	"01"	"40-44 years"	"40-44"	"2015"	"2015"	"Male"	"M"	576	148562	387.72
	"Alabama"	"01"	"40-44 years"	"40-44"	"2016"	"2016"	"Female"	"F"	430	151388	284.04
	"Alabama"	"01"	"40-44 years"	"40-44"	"2016"	"2016"	"Male"	"M"	599	143268	418.10
	"Alabama"	"01"	"40-44 years"	"40-44"	"2017"	"2017"	"Female"	"F"	398	149430	266.35
	"Alabama"	"01"	"40-44 years"	"40-44"	"2017"	"2017"	"Male"	"M"	591	140254	421.38
	"Alabama"	"01"	"40-44 years"	"40-44"	"2018"	"2018"	"Female"	"F"	401	149037	269.06
	"Alabama"	"01"	"40-44 years"	"40-44"	"2018"	"2018"	"Male"	"M"	591	139271	424.35
	"Alabama"	"01"	"45-49 years"	"45-49"	"1999"	"1999"	"Female"	"F"	489	159445	306.69
	"Alabama"	"01"	"45-49 years"	"45-49"	"1999"	"1999"	"Male"	"M"	903	150447	600.21
	"Alabama"	"01"	"45-49 years"	"45-49"	"2000"	"2000"	"Female"	"F"	533	162064	328.88
	"Alabama"	"01"	"45-49 years"	"45-49"	"2000"	"2000"	"Male"	"M"	918	153109	599.57
	"Alabama"	"01"	"45-49 years"	"45-49"	"2001"	"2001"	"Female"	"F"	561	166238	337.47
	"Alabama"	"01"	"45-49 years"	"45-49"	"2001"	"2001"	"Male"	"M"	923	157109	587.49
	"Alabama"	"01"	"45-49 years"	"45-49"	"2002"	"2002"	"Female"	"F"	606	170139	356.18
	"Alabama"	"01"	"45-49 years"	"45-49"	"2002"	"2002"	"Male"	"M"	994	160859	617.93
	"Alabama"	"01"	"45-49 years"	"45-49"	"2003"	"2003"	"Female"	"F"	616	173407	355.23
	"Alabama"	"01"	"45-49 years"	"45-49"	"2003"	"2003"	"Male"	"M"	1045	163830	637.86
	"Alabama"	"01"	"45-49 years"	"45-49"	"2004"	"2004"	"Female"	"F"	640	175458	364.76
	"Alabama"	"01"	"45-49 years"	"45-49"	"2004"	"2004"	"Male"	"M"	994	165310	601.29
	"Alabama"	"01"	"45-49 years"	"45-49"	"2005"	"2005"	"Female"	"F"	646	176926	365.12
	"Alabama"	"01"	"45-49 years"	"45-49"	"2005"	"2005"	"Male"	"M"	1042	167466	622.22
	"Alabama"	"01"	"45-49 years"	"45-49"	"2006"	"2006"	"Female"	"F"	639	179181	356.62
	"Alabama"	"01"	"45-49 years"	"45-49"	"2006"	"2006"	"Male"	"M"	1079	169420	636.88
	"Alabama"	"01"	"45-49 years"	"45-49"	"2007"	"2007"	"Female"	"F"	646	178782	361.33
	"Alabama"	"01"	"45-49 years"	"45-49"	"2007"	"2007"	"Male"	"M"	1039	169469	613.09
	"Alabama"	"01"	"45-49 years"	"45-49"	"2008"	"2008"	"Female"	"F"	739	178625	413.72
	"Alabama"	"01"	"45-49 years"	"45-49"	"2008"	"2008"	"Male"	"M"	1084	169523	639.44
	"Alabama"	"01"	"45-49 years"	"45-49"	"2009"	"2009"	"Female"	"F"	664	177967	373.10
	"Alabama"	"01"	"45-49 years"	"45-49"	"2009"	"2009"	"Male"	"M"	983	170289	577.25
	"Alabama"	"01"	"45-49 years"	"45-49"	"2010"	"2010"	"Female"	"F"	629	177266	354.83
	"Alabama"	"01"	"45-49 years"	"45-49"	"2010"	"2010"	"Male"	"M"	950	169103	561.79
	"Alabama"	"01"	"45-49 years"	"45-49"	"2011"	"2011"	"Female"	"F"	642	172290	372.63
	"Alabama"	"01"	"45-49 years"	"45-49"	"2011"	"2011"	"Male"	"M"	935	164110	569.74
	"Alabama"	"01"	"45-49 years"	"45-49"	"2012"	"2012"	"Female"	"F"	600	167379	358.47
	"Alabama"	"01"	"45-49 years"	"45-49"	"2012"	"2012"	"Male"	"M"	897	159461	562.52
	"Alabama"	"01"	"45-49 years"	"45-49"	"2013"	"2013"	"Female"	"F"	659	163070	404.12
	"Alabama"	"01"	"45-49 years"	"45-49"	"2013"	"2013"	"Male"	"M"	956	155531	614.67
	"Alabama"	"01"	"45-49 years"	"45-49"	"2014"	"2014"	"Female"	"F"	616	159784	385.52
	"Alabama"	"01"	"45-49 years"	"45-49"	"2014"	"2014"	"Male"	"M"	806	152054	530.07
	"Alabama"	"01"	"45-49 years"	"45-49"	"2015"	"2015"	"Female"	"F"	610	158307	385.33
	"Alabama"	"01"	"45-49 years"	"45-49"	"2015"	"2015"	"Male"	"M"	858	150742	569.18
	"Alabama"	"01"	"45-49 years"	"45-49"	"2016"	"2016"	"Female"	"F"	586	159800	366.71
	"Alabama"	"01"	"45-49 years"	"45-49"	"2016"	"2016"	"Male"	"M"	863	152255	566.81
	"Alabama"	"01"	"45-49 years"	"45-49"	"2017"	"2017"	"Female"	"F"	583	161003	362.11
	"Alabama"	"01"	"45-49 years"	"45-49"	"2017"	"2017"	"Male"	"M"	837	152753	547.94
	"Alabama"	"01"	"45-49 years"	"45-49"	"2018"	"2018"	"Female"	"F"	599	161205	371.58
	"Alabama"	"01"	"45-49 years"	"45-49"	"2018"	"2018"	"Male"	"M"	860	151761	566.68
	"Alabama"	"01"	"50-54 years"	"50-54"	"1999"	"1999"	"Female"	"F"	672	141883	473.63
	"Alabama"	"01"	"50-54 years"	"50-54"	"1999"	"1999"	"Male"	"M"	1093	133876	816.43
	"Alabama"	"01"	"50-54 years"	"50-54"	"2000"	"2000"	"Female"	"F"	672	146381	459.08
	"Alabama"	"01"	"50-54 years"	"50-54"	"2000"	"2000"	"Male"	"M"	1142	138655	823.63
	"Alabama"	"01"	"50-54 years"	"50-54"	"2001"	"2001"	"Female"	"F"	722	153833	469.34
	"Alabama"	"01"	"50-54 years"	"50-54"	"2001"	"2001"	"Male"	"M"	1289	146275	881.22
	"Alabama"	"01"	"50-54 years"	"50-54"	"2002"	"2002"	"Female"	"F"	707	153731	459.89
	"Alabama"	"01"	"50-54 years"	"50-54"	"2002"	"2002"	"Male"	"M"	1267	145177	872.73
	"Alabama"	"01"	"50-54 years"	"50-54"	"2003"	"2003"	"Female"	"F"	785	155362	505.27
	"Alabama"	"01"	"50-54 years"	"50-54"	"2003"	"2003"	"Male"	"M"	1292	146758	880.36
	"Alabama"	"01"	"50-54 years"	"50-54"	"2004"	"2004"	"Female"	"F"	798	158552	503.30
	"Alabama"	"01"	"50-54 years"	"50-54"	"2004"	"2004"	"Male"	"M"	1311	149053	879.55
	"Alabama"	"01"	"50-54 years"	"50-54"	"2005"	"2005"	"Female"	"F"	903	162209	556.69
	"Alabama"	"01"	"50-54 years"	"50-54"	"2005"	"2005"	"Male"	"M"	1333	152630	873.35
	"Alabama"	"01"	"50-54 years"	"50-54"	"2006"	"2006"	"Female"	"F"	859	166552	515.75
	"Alabama"	"01"	"50-54 years"	"50-54"	"2006"	"2006"	"Male"	"M"	1443	156757	920.53
	"Alabama"	"01"	"50-54 years"	"50-54"	"2007"	"2007"	"Female"	"F"	859	171281	501.52
	"Alabama"	"01"	"50-54 years"	"50-54"	"2007"	"2007"	"Male"	"M"	1413	161263	876.21
	"Alabama"	"01"	"50-54 years"	"50-54"	"2008"	"2008"	"Female"	"F"	853	175205	486.86
	"Alabama"	"01"	"50-54 years"	"50-54"	"2008"	"2008"	"Male"	"M"	1482	164801	899.27
	"Alabama"	"01"	"50-54 years"	"50-54"	"2009"	"2009"	"Female"	"F"	933	177413	525.89
	"Alabama"	"01"	"50-54 years"	"50-54"	"2009"	"2009"	"Male"	"M"	1499	167065	897.26
	"Alabama"	"01"	"50-54 years"	"50-54"	"2010"	"2010"	"Female"	"F"	964	178760	539.27
	"Alabama"	"01"	"50-54 years"	"50-54"	"2010"	"2010"	"Male"	"M"	1497	168725	887.24
	"Alabama"	"01"	"50-54 years"	"50-54"	"2011"	"2011"	"Female"	"F"	966	179833	537.17
	"Alabama"	"01"	"50-54 years"	"50-54"	"2011"	"2011"	"Male"	"M"	1500	168915	888.02
	"Alabama"	"01"	"50-54 years"	"50-54"	"2012"	"2012"	"Female"	"F"	1003	178767	561.07
	"Alabama"	"01"	"50-54 years"	"50-54"	"2012"	"2012"	"Male"	"M"	1463	167857	871.58
	"Alabama"	"01"	"50-54 years"	"50-54"	"2013"	"2013"	"Female"	"F"	924	178289	518.26
	"Alabama"	"01"	"50-54 years"	"50-54"	"2013"	"2013"	"Male"	"M"	1479	167545	882.75
	"Alabama"	"01"	"50-54 years"	"50-54"	"2014"	"2014"	"Female"	"F"	995	177590	560.28
	"Alabama"	"01"	"50-54 years"	"50-54"	"2014"	"2014"	"Male"	"M"	1363	167157	815.40
	"Alabama"	"01"	"50-54 years"	"50-54"	"2015"	"2015"	"Female"	"F"	966	175611	550.08
	"Alabama"	"01"	"50-54 years"	"50-54"	"2015"	"2015"	"Male"	"M"	1541	164782	935.17
	"Alabama"	"01"	"50-54 years"	"50-54"	"2016"	"2016"	"Female"	"F"	1040	171006	608.17
	"Alabama"	"01"	"50-54 years"	"50-54"	"2016"	"2016"	"Male"	"M"	1381	160957	857.99
	"Alabama"	"01"	"50-54 years"	"50-54"	"2017"	"2017"	"Female"	"F"	866	166142	521.24
	"Alabama"	"01"	"50-54 years"	"50-54"	"2017"	"2017"	"Male"	"M"	1338	156734	853.68
	"Alabama"	"01"	"50-54 years"	"50-54"	"2018"	"2018"	"Female"	"F"	857	161898	529.35
	"Alabama"	"01"	"50-54 years"	"50-54"	"2018"	"2018"	"Male"	"M"	1280	152594	838.83
	"Alabama"	"01"	"55-59 years"	"55-59"	"1999"	"1999"	"Female"	"F"	857	115362	742.88
	"Alabama"	"01"	"55-59 years"	"55-59"	"1999"	"1999"	"Male"	"M"	1347	105366	1278.40
	"Alabama"	"01"	"55-59 years"	"55-59"	"2000"	"2000"	"Female"	"F"	882	117678	749.50
	"Alabama"	"01"	"55-59 years"	"55-59"	"2000"	"2000"	"Male"	"M"	1439	107772	1335.23
	"Alabama"	"01"	"55-59 years"	"55-59"	"2001"	"2001"	"Female"	"F"	908	120592	752.95
	"Alabama"	"01"	"55-59 years"	"55-59"	"2001"	"2001"	"Male"	"M"	1383	110610	1250.34
	"Alabama"	"01"	"55-59 years"	"55-59"	"2002"	"2002"	"Female"	"F"	941	129135	728.69
	"Alabama"	"01"	"55-59 years"	"55-59"	"2002"	"2002"	"Male"	"M"	1513	119508	1266.02
	"Alabama"	"01"	"55-59 years"	"55-59"	"2003"	"2003"	"Female"	"F"	993	133847	741.89
	"Alabama"	"01"	"55-59 years"	"55-59"	"2003"	"2003"	"Male"	"M"	1540	124704	1234.92
	"Alabama"	"01"	"55-59 years"	"55-59"	"2004"	"2004"	"Female"	"F"	1078	140011	769.94
	"Alabama"	"01"	"55-59 years"	"55-59"	"2004"	"2004"	"Male"	"M"	1661	130369	1274.08
	"Alabama"	"01"	"55-59 years"	"55-59"	"2005"	"2005"	"Female"	"F"	1015	147131	689.86
	"Alabama"	"01"	"55-59 years"	"55-59"	"2005"	"2005"	"Male"	"M"	1758	136953	1283.65
	"Alabama"	"01"	"55-59 years"	"55-59"	"2006"	"2006"	"Female"	"F"	1132	154076	734.70
	"Alabama"	"01"	"55-59 years"	"55-59"	"2006"	"2006"	"Male"	"M"	1772	143669	1233.39
	"Alabama"	"01"	"55-59 years"	"55-59"	"2007"	"2007"	"Female"	"F"	1082	154650	699.64
	"Alabama"	"01"	"55-59 years"	"55-59"	"2007"	"2007"	"Male"	"M"	1808	143382	1260.97
	"Alabama"	"01"	"55-59 years"	"55-59"	"2008"	"2008"	"Female"	"F"	1153	156822	735.23
	"Alabama"	"01"	"55-59 years"	"55-59"	"2008"	"2008"	"Male"	"M"	1836	145011	1266.11
	"Alabama"	"01"	"55-59 years"	"55-59"	"2009"	"2009"	"Female"	"F"	1095	159837	685.07
	"Alabama"	"01"	"55-59 years"	"55-59"	"2009"	"2009"	"Male"	"M"	1862	147180	1265.12
	"Alabama"	"01"	"55-59 years"	"55-59"	"2010"	"2010"	"Female"	"F"	1173	162273	722.86
	"Alabama"	"01"	"55-59 years"	"55-59"	"2010"	"2010"	"Male"	"M"	1872	149633	1251.06
	"Alabama"	"01"	"55-59 years"	"55-59"	"2011"	"2011"	"Female"	"F"	1200	166846	719.23
	"Alabama"	"01"	"55-59 years"	"55-59"	"2011"	"2011"	"Male"	"M"	1986	153650	1292.55
	"Alabama"	"01"	"55-59 years"	"55-59"	"2012"	"2012"	"Female"	"F"	1239	170347	727.34
	"Alabama"	"01"	"55-59 years"	"55-59"	"2012"	"2012"	"Male"	"M"	2010	157142	1279.10
	"Alabama"	"01"	"55-59 years"	"55-59"	"2013"	"2013"	"Female"	"F"	1289	173413	743.31
	"Alabama"	"01"	"55-59 years"	"55-59"	"2013"	"2013"	"Male"	"M"	2065	159733	1292.78
	"Alabama"	"01"	"55-59 years"	"55-59"	"2014"	"2014"	"Female"	"F"	1356	174404	777.51
	"Alabama"	"01"	"55-59 years"	"55-59"	"2014"	"2014"	"Male"	"M"	2104	160883	1307.78
	"Alabama"	"01"	"55-59 years"	"55-59"	"2015"	"2015"	"Female"	"F"	1400	175539	797.54
	"Alabama"	"01"	"55-59 years"	"55-59"	"2015"	"2015"	"Male"	"M"	2094	161967	1292.86
	"Alabama"	"01"	"55-59 years"	"55-59"	"2016"	"2016"	"Female"	"F"	1328	176243	753.51
	"Alabama"	"01"	"55-59 years"	"55-59"	"2016"	"2016"	"Male"	"M"	2055	162491	1264.69
	"Alabama"	"01"	"55-59 years"	"55-59"	"2017"	"2017"	"Female"	"F"	1379	175678	784.96
	"Alabama"	"01"	"55-59 years"	"55-59"	"2017"	"2017"	"Male"	"M"	2204	161580	1364.03
	"Alabama"	"01"	"55-59 years"	"55-59"	"2018"	"2018"	"Female"	"F"	1392	175251	794.29
	"Alabama"	"01"	"55-59 years"	"55-59"	"2018"	"2018"	"Male"	"M"	2050	161560	1268.88
	"Alabama"	"01"	"60-64 years "	"60-64"	"1999"	"1999"	"Female"	"F"	1079	101124	1067.01
	"Alabama"	"01"	"60-64 years "	"60-64"	"1999"	"1999"	"Male"	"M"	1758	88690	1982.19
	"Alabama"	"01"	"60-64 years "	"60-64"	"2000"	"2000"	"Female"	"F"	1102	101160	1089.36
	"Alabama"	"01"	"60-64 years "	"60-64"	"2000"	"2000"	"Male"	"M"	1687	88922	1897.17
	"Alabama"	"01"	"60-64 years "	"60-64"	"2001"	"2001"	"Female"	"F"	1175	102947	1141.36
	"Alabama"	"01"	"60-64 years "	"60-64"	"2001"	"2001"	"Male"	"M"	1661	90875	1827.79
	"Alabama"	"01"	"60-64 years "	"60-64"	"2002"	"2002"	"Female"	"F"	1123	105395	1065.52
	"Alabama"	"01"	"60-64 years "	"60-64"	"2002"	"2002"	"Male"	"M"	1720	93485	1839.87
	"Alabama"	"01"	"60-64 years "	"60-64"	"2003"	"2003"	"Female"	"F"	1246	109568	1137.19
	"Alabama"	"01"	"60-64 years "	"60-64"	"2003"	"2003"	"Male"	"M"	1832	97551	1877.99
	"Alabama"	"01"	"60-64 years "	"60-64"	"2004"	"2004"	"Female"	"F"	1213	113285	1070.75
	"Alabama"	"01"	"60-64 years "	"60-64"	"2004"	"2004"	"Male"	"M"	1817	101698	1786.66
	"Alabama"	"01"	"60-64 years "	"60-64"	"2005"	"2005"	"Female"	"F"	1351	116079	1163.86
	"Alabama"	"01"	"60-64 years "	"60-64"	"2005"	"2005"	"Male"	"M"	1952	104324	1871.09
	"Alabama"	"01"	"60-64 years "	"60-64"	"2006"	"2006"	"Female"	"F"	1262	119443	1056.57
	"Alabama"	"01"	"60-64 years "	"60-64"	"2006"	"2006"	"Male"	"M"	1920	107124	1792.32
	"Alabama"	"01"	"60-64 years "	"60-64"	"2007"	"2007"	"Female"	"F"	1342	128133	1047.35
	"Alabama"	"01"	"60-64 years "	"60-64"	"2007"	"2007"	"Male"	"M"	1996	115910	1722.03
	"Alabama"	"01"	"60-64 years "	"60-64"	"2008"	"2008"	"Female"	"F"	1418	133213	1064.46
	"Alabama"	"01"	"60-64 years "	"60-64"	"2008"	"2008"	"Male"	"M"	2101	121294	1732.15
	"Alabama"	"01"	"60-64 years "	"60-64"	"2009"	"2009"	"Female"	"F"	1475	139157	1059.95
	"Alabama"	"01"	"60-64 years "	"60-64"	"2009"	"2009"	"Male"	"M"	2222	126713	1753.57
	"Alabama"	"01"	"60-64 years "	"60-64"	"2010"	"2010"	"Female"	"F"	1447	144524	1001.22
	"Alabama"	"01"	"60-64 years "	"60-64"	"2010"	"2010"	"Male"	"M"	2261	131603	1718.05
	"Alabama"	"01"	"60-64 years "	"60-64"	"2011"	"2011"	"Female"	"F"	1538	151793	1013.22
	"Alabama"	"01"	"60-64 years "	"60-64"	"2011"	"2011"	"Male"	"M"	2387	137935	1730.53
	"Alabama"	"01"	"60-64 years "	"60-64"	"2012"	"2012"	"Female"	"F"	1576	151196	1042.36
	"Alabama"	"01"	"60-64 years "	"60-64"	"2012"	"2012"	"Male"	"M"	2374	136723	1736.36
	"Alabama"	"01"	"60-64 years "	"60-64"	"2013"	"2013"	"Female"	"F"	1613	152437	1058.14
	"Alabama"	"01"	"60-64 years "	"60-64"	"2013"	"2013"	"Male"	"M"	2439	137216	1777.49
	"Alabama"	"01"	"60-64 years "	"60-64"	"2014"	"2014"	"Female"	"F"	1673	155101	1078.65
	"Alabama"	"01"	"60-64 years "	"60-64"	"2014"	"2014"	"Male"	"M"	2439	139088	1753.57
	"Alabama"	"01"	"60-64 years "	"60-64"	"2015"	"2015"	"Female"	"F"	1658	158584	1045.50
	"Alabama"	"01"	"60-64 years "	"60-64"	"2015"	"2015"	"Male"	"M"	2611	141907	1839.94
	"Alabama"	"01"	"60-64 years "	"60-64"	"2016"	"2016"	"Female"	"F"	1705	161750	1054.10
	"Alabama"	"01"	"60-64 years "	"60-64"	"2016"	"2016"	"Male"	"M"	2691	144608	1860.89
	"Alabama"	"01"	"60-64 years "	"60-64"	"2017"	"2017"	"Female"	"F"	1754	165455	1060.11
	"Alabama"	"01"	"60-64 years "	"60-64"	"2017"	"2017"	"Male"	"M"	2758	147832	1865.63
	"Alabama"	"01"	"60-64 years "	"60-64"	"2018"	"2018"	"Female"	"F"	1857	168373	1102.91
	"Alabama"	"01"	"60-64 years "	"60-64"	"2018"	"2018"	"Male"	"M"	2797	149995	1864.73
	"Alabama"	"01"	"65-69 years"	"65-69"	"1999"	"1999"	"Female"	"F"	1601	91405	1751.55
	"Alabama"	"01"	"65-69 years"	"65-69"	"1999"	"1999"	"Male"	"M"	2232	75958	2938.47
	"Alabama"	"01"	"65-69 years"	"65-69"	"2000"	"2000"	"Female"	"F"	1680	91563	1834.80
	"Alabama"	"01"	"65-69 years"	"65-69"	"2000"	"2000"	"Male"	"M"	2245	76405	2938.29
	"Alabama"	"01"	"65-69 years"	"65-69"	"2001"	"2001"	"Female"	"F"	1621	91716	1767.41
	"Alabama"	"01"	"65-69 years"	"65-69"	"2001"	"2001"	"Male"	"M"	2205	77545	2843.51
	"Alabama"	"01"	"65-69 years"	"65-69"	"2002"	"2002"	"Female"	"F"	1528	92202	1657.23
	"Alabama"	"01"	"65-69 years"	"65-69"	"2002"	"2002"	"Male"	"M"	2151	78293	2747.37
	"Alabama"	"01"	"65-69 years"	"65-69"	"2003"	"2003"	"Female"	"F"	1589	93867	1692.82
	"Alabama"	"01"	"65-69 years"	"65-69"	"2003"	"2003"	"Male"	"M"	2167	79768	2716.63
	"Alabama"	"01"	"65-69 years"	"65-69"	"2004"	"2004"	"Female"	"F"	1553	95545	1625.41
	"Alabama"	"01"	"65-69 years"	"65-69"	"2004"	"2004"	"Male"	"M"	2203	81138	2715.13
