"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2013"	"2013"	Suppressed	945	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2014"	"2014"	Suppressed	954	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2015"	"2015"	Suppressed	980	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2016"	"2016"	Suppressed	984	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2017"	"2017"	Suppressed	970	Suppressed
	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"	"2018"	"2018"	Suppressed	1008	Suppressed
"Total"	"Alabama"	"01"	"35-39 years"	"35-39"	"Female"	"F"			Suppressed	19333	Suppressed
"Total"	"Alabama"	"01"	"35-39 years"	"35-39"					Suppressed	19333	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"1999"	"1999"	Suppressed	1194	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2000"	"2000"	Suppressed	1245	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2001"	"2001"	Suppressed	1221	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2002"	"2002"	Suppressed	1192	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2003"	"2003"	Suppressed	1198	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2004"	"2004"	Suppressed	1188	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2005"	"2005"	Suppressed	1173	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2006"	"2006"	Suppressed	1234	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2007"	"2007"	Suppressed	1189	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2008"	"2008"	Suppressed	1138	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2009"	"2009"	Suppressed	1106	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2010"	"2010"	Suppressed	1087	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2011"	"2011"	Suppressed	1079	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2012"	"2012"	Suppressed	1105	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2013"	"2013"	Suppressed	1072	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2014"	"2014"	Suppressed	1029	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2015"	"2015"	Suppressed	1003	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2016"	"2016"	Suppressed	962	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2017"	"2017"	Suppressed	948	Suppressed
	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"	"2018"	"2018"	Suppressed	941	Suppressed
"Total"	"Alabama"	"01"	"40-44 years"	"40-44"	"Female"	"F"			Suppressed	22304	Suppressed
"Total"	"Alabama"	"01"	"40-44 years"	"40-44"					Suppressed	22304	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"1999"	"1999"	Suppressed	930	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2000"	"2000"	Suppressed	1018	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2001"	"2001"	Suppressed	1077	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2002"	"2002"	Suppressed	1167	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2003"	"2003"	Suppressed	1229	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2004"	"2004"	Suppressed	1280	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2005"	"2005"	Suppressed	1299	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2006"	"2006"	Suppressed	1280	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2007"	"2007"	Suppressed	1284	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2008"	"2008"	Suppressed	1269	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2009"	"2009"	Suppressed	1255	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2010"	"2010"	Suppressed	1231	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2011"	"2011"	Suppressed	1174	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2012"	"2012"	Suppressed	1128	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2013"	"2013"	Suppressed	1105	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2014"	"2014"	Suppressed	1114	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2015"	"2015"	Suppressed	1079	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2016"	"2016"	Suppressed	1087	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2017"	"2017"	Suppressed	1094	Suppressed
	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"	"2018"	"2018"	Suppressed	1049	Suppressed
"Total"	"Alabama"	"01"	"45-49 years"	"45-49"	"Female"	"F"			Suppressed	23149	Suppressed
"Total"	"Alabama"	"01"	"45-49 years"	"45-49"					Suppressed	23149	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"1999"	"1999"	Suppressed	754	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2000"	"2000"	Suppressed	806	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2001"	"2001"	Suppressed	844	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2002"	"2002"	Suppressed	865	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2003"	"2003"	Suppressed	880	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2004"	"2004"	Suppressed	936	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2005"	"2005"	Suppressed	1007	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2006"	"2006"	Suppressed	1096	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2007"	"2007"	Suppressed	1158	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2008"	"2008"	Suppressed	1222	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2009"	"2009"	Suppressed	1237	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2010"	"2010"	Suppressed	1256	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2011"	"2011"	Suppressed	1297	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2012"	"2012"	Suppressed	1280	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2013"	"2013"	Suppressed	1283	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2014"	"2014"	Suppressed	1261	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2015"	"2015"	Suppressed	1241	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2016"	"2016"	Suppressed	1188	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2017"	"2017"	Suppressed	1133	Suppressed
	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"	"2018"	"2018"	Suppressed	1115	Suppressed
"Total"	"Alabama"	"01"	"50-54 years"	"50-54"	"Female"	"F"			Suppressed	21859	Suppressed
"Total"	"Alabama"	"01"	"50-54 years"	"50-54"					Suppressed	21859	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"1999"	"1999"	Suppressed	536	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2000"	"2000"	Suppressed	598	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2001"	"2001"	Suppressed	608	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2002"	"2002"	Suppressed	688	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2003"	"2003"	Suppressed	750	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2004"	"2004"	Suppressed	751	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2005"	"2005"	Suppressed	829	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2006"	"2006"	Suppressed	873	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2007"	"2007"	Suppressed	911	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2008"	"2008"	Suppressed	904	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2009"	"2009"	Suppressed	966	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2010"	"2010"	Suppressed	1012	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2011"	"2011"	Suppressed	1094	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2012"	"2012"	Suppressed	1143	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2013"	"2013"	Suppressed	1189	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2014"	"2014"	Suppressed	1243	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2015"	"2015"	Suppressed	1267	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2016"	"2016"	Suppressed	1297	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2017"	"2017"	Suppressed	1289	Suppressed
	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"	"2018"	"2018"	Suppressed	1282	Suppressed
"Total"	"Alabama"	"01"	"55-59 years"	"55-59"	"Female"	"F"			Suppressed	19230	Suppressed
"Total"	"Alabama"	"01"	"55-59 years"	"55-59"					Suppressed	19230	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"1999"	"1999"	Suppressed	311	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2000"	"2000"	Suppressed	334	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2001"	"2001"	Suppressed	374	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2002"	"2002"	Suppressed	435	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2003"	"2003"	Suppressed	477	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2004"	"2004"	Suppressed	550	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2005"	"2005"	Suppressed	583	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2006"	"2006"	Suppressed	595	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2007"	"2007"	Suppressed	666	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2008"	"2008"	Suppressed	731	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2009"	"2009"	Suppressed	751	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2010"	"2010"	Suppressed	797	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2011"	"2011"	Suppressed	854	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2012"	"2012"	Suppressed	847	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2013"	"2013"	Suppressed	914	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2014"	"2014"	Suppressed	936	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2015"	"2015"	Suppressed	1009	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2016"	"2016"	Suppressed	1071	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2017"	"2017"	Suppressed	1139	Suppressed
	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"	"2018"	"2018"	Suppressed	1183	Suppressed
"Total"	"Alabama"	"01"	"60-64 years "	"60-64"	"Female"	"F"			Suppressed	14557	Suppressed
"Total"	"Alabama"	"01"	"60-64 years "	"60-64"					Suppressed	14557	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"1999"	"1999"	Suppressed	219	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2000"	"2000"	Suppressed	246	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2001"	"2001"	Suppressed	248	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2002"	"2002"	Suppressed	251	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2003"	"2003"	Suppressed	253	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2004"	"2004"	Suppressed	278	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2005"	"2005"	Suppressed	320	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2006"	"2006"	Suppressed	367	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2007"	"2007"	Suppressed	420	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2008"	"2008"	Suppressed	466	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2009"	"2009"	Suppressed	516	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2010"	"2010"	Suppressed	543	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2011"	"2011"	Suppressed	565	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2012"	"2012"	Suppressed	639	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2013"	"2013"	Suppressed	676	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2014"	"2014"	Suppressed	753	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2015"	"2015"	Suppressed	783	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2016"	"2016"	Suppressed	846	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2017"	"2017"	Suppressed	838	Suppressed
	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"	"2018"	"2018"	Suppressed	875	Suppressed
"Total"	"Alabama"	"01"	"65-69 years"	"65-69"	"Female"	"F"			Suppressed	10102	Suppressed
"Total"	"Alabama"	"01"	"65-69 years"	"65-69"					Suppressed	10102	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"1999"	"1999"	Suppressed	179	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2000"	"2000"	Suppressed	206	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2001"	"2001"	Suppressed	204	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2002"	"2002"	Suppressed	209	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2003"	"2003"	Suppressed	221	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2004"	"2004"	Suppressed	228	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2005"	"2005"	Suppressed	215	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2006"	"2006"	Suppressed	233	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2007"	"2007"	Suppressed	245	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2008"	"2008"	Suppressed	251	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2009"	"2009"	Suppressed	275	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2010"	"2010"	Suppressed	304	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2011"	"2011"	Suppressed	333	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2012"	"2012"	Suppressed	347	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2013"	"2013"	Suppressed	441	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2014"	"2014"	Suppressed	474	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2015"	"2015"	Suppressed	504	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2016"	"2016"	Suppressed	535	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2017"	"2017"	Suppressed	632	Suppressed
	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"	"2018"	"2018"	Suppressed	668	Suppressed
"Total"	"Alabama"	"01"	"70-74 years"	"70-74"	"Female"	"F"			Suppressed	6704	Suppressed
"Total"	"Alabama"	"01"	"70-74 years"	"70-74"					Suppressed	6704	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"1999"	"1999"	Suppressed	116	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2000"	"2000"	Suppressed	138	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2001"	"2001"	Suppressed	131	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2002"	"2002"	Suppressed	142	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2003"	"2003"	Suppressed	145	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2004"	"2004"	Suppressed	143	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2005"	"2005"	Suppressed	160	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2006"	"2006"	Suppressed	164	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2007"	"2007"	Suppressed	167	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2008"	"2008"	Suppressed	177	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2009"	"2009"	Suppressed	177	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2010"	"2010"	Suppressed	174	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2011"	"2011"	Suppressed	208	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2012"	"2012"	Suppressed	207	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2013"	"2013"	Suppressed	221	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2014"	"2014"	Suppressed	253	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2015"	"2015"	Suppressed	288	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2016"	"2016"	Suppressed	313	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2017"	"2017"	Suppressed	352	Suppressed
	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"	"2018"	"2018"	Suppressed	426	Suppressed
"Total"	"Alabama"	"01"	"75-79 years"	"75-79"	"Female"	"F"			Suppressed	4102	Suppressed
"Total"	"Alabama"	"01"	"75-79 years"	"75-79"					Suppressed	4102	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"1999"	"1999"	Suppressed	66	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2000"	"2000"	Suppressed	82	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2001"	"2001"	Suppressed	72	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2002"	"2002"	Suppressed	82	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2003"	"2003"	Suppressed	85	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2004"	"2004"	Suppressed	96	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2005"	"2005"	Suppressed	93	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2006"	"2006"	Suppressed	105	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2007"	"2007"	Suppressed	110	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2008"	"2008"	Suppressed	121	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2009"	"2009"	Suppressed	126	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2010"	"2010"	Suppressed	133	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2011"	"2011"	Suppressed	131	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2012"	"2012"	Suppressed	137	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2013"	"2013"	Suppressed	138	Suppressed
	"Alabama"	"01"	"80-84 years"	"80-84"	"Female"	"F"	"2014"	"2014"	Suppressed	145	Suppressed
